Abbrev,Name,Count_yr,Min_temp,Max_temp,Min_wind,Max_wind,Wind-Direction,Min_snow,Max_snow,Still Water,Moving Water,AM Cloud,PM Cloud,Am_rain_cond_Names,Pm_rain_cond_Names,Am_snow_cond_Names,Pm_snow_cond_Names
FLSC,Sanibel-Captiva,68,62.00,82.00,2.00,10.00,Southeast,0.00,0.00,Unknown,Unknown,Clear,Clear,Unknown,Unknown,Unknown,Unknown
FLSM,St. Marks,68,35.00,41.00,5.00,15.00,Northwest,0.00,0.00,Unknown,Open,Cloudy,Clear,Unknown,Unknown,Unknown,Unknown
FLSP,St. Petersburg,68,48.00,68.00,5.00,12.00,North,0.00,0.00,Unknown,Unknown,Partly Clear,Partly Clear,Unknown,Unknown,Unknown,Unknown
FLSR,Sarasota,68,55.00,74.00,5.00,10.00,Northeast,0.00,0.00,Unknown,Unknown,Foggy,Clear,Unknown,Unknown,Unknown,Unknown
FLST,Stuart,68,68.00,81.00,0.00,15.00,Unknown,0.00,0.00,Unknown,Unknown,Partly Clear,Partly Clear,Unknown,Unknown,Unknown,Unknown
FLWP,West Palm Beach,68,51.00,76.00,0.00,18.00,Southeast,0.00,0.00,Unknown,Unknown,Clear,Clear,Unknown,Unknown,Unknown,Unknown
LALA,Lafayette,68,26.00,48.00,2.00,10.00,Northeast,0.00,0.00,Frozen,Unknown,Clear,Clear,Unknown,Unknown,Unknown,Unknown
FLBC,Bay County,69,50.00,62.00,3.00,24.00,North,0.00,0.00,Unknown,Unknown,Clear,Clear,Unknown,Unknown,Unknown,Unknown
FLCE,Coot Bay-Everglades N.P.,69,73.00,79.00,5.00,15.00,North,0.00,0.00,Unknown,Unknown,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
FLCO,Cocoa,69,49.00,77.00,2.00,15.00,Southeast,0.00,0.00,Unknown,Unknown,Clear,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
FLFL,Fort Lauderdale,69,66.00,82.00,5.00,15.00,Southeast,0.00,0.00,Unknown,Unknown,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
FLFM,Fort Myers,69,60.00,82.00,4.00,10.00,South,0.00,0.00,Unknown,Unknown,Foggy,Clear,Unknown,Unknown,Unknown,Unknown
FLFP,Fort Pierce,69,70.00,78.00,15.00,15.00,South,0.00,0.00,Unknown,Unknown,Clear,Clear,Unknown,Unknown,Unknown,Unknown
FLJA,Jacksonville,69,48.00,66.00,5.00,15.00,Variable,0.00,0.00,Unknown,Unknown,Clear,Cloudy,Unknown,Unknown,Unknown,Unknown
FLKL,Key Largo-Plantation Key,69,63.00,82.00,10.00,18.00,Southeast,0.00,0.00,Unknown,Unknown,Clear,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
FLKW,Key West,69,72.00,80.00,7.00,7.00,East,0.00,0.00,Unknown,Unknown,Clear,Clear,Unknown,Unknown,Unknown,Unknown
